1 10.100000 22231304087097737216.000000 1862601511403904565248.000000 
2 10.110000 9415517621159272448.000000 717401304907952029696.000000 
3 10.120000 4296960276960223744.000000 300224358640780902400.000000 
4 10.130000 2087936671851138816.000000 134708358007711121408.000000 
5 10.140000 1070214569342149760.000000 64138336580847116288.000000 
6 10.150000 574405086690939136.000000 32140730534095925248.000000 
7 10.160000 320905328686163200.000000 16839883835346098176.000000 
8 10.170000 185709607803715264.000000 9175306548933524480.000000 
9 10.180000 110876812892273312.000000 5175542946450834432.000000 
10 10.190000 68065995476513280.000000 3011039255808822784.000000 
11 10.200000 42841304346391960.000000 1801043551057968640.000000 
12 10.210000 27579077152720696.000000 1104595447622120832.000000 
13 10.220000 18120521124813468.000000 693013492593406208.000000 
14 10.230000 12129597742766228.000000 443877072396584000.000000 
15 10.240000 8258830143613637.000000 289735358919307648.000000 
16 10.250000 5711932740527163.000000 192436272734074848.000000 
17 10.260000 4007810158062172.000000 129875403450010720.000000 
18 10.270000 2849824753158822.000000 88960326506579120.000000 
19 10.280000 2051611601821451.250000 61777106922846256.000000 
20 10.290000 1494037410330374.500000 43451223936257400.000000 
21 10.300000 1099711594406190.250000 30927427561227972.000000 
22 10.310000 817602296329711.750000 22259427622527972.000000 
23 10.320000 613585926333427.625000 16188475815320058.000000 
24 10.330000 464545405501548.250000 11888891938919008.000000 
25 10.340000 354627477225812.375000 8811845175044902.000000 
26 10.350000 272834827591541.500000 6587961372106800.000000 
27 10.360000 211455906996367.437500 4965719021489009.000000 
28 10.370000 165027937729736.218750 3771948611268279.500000 
29 10.380000 129643816239769.390625 2886177852551569.000000 
30 10.390000 102483609628819.718750 2223766667790298.500000 
31 10.400000 81494473070284.390625 1724692915719290.500000 
32 10.410000 65169750152737.445312 1346014381556301.500000 
33 10.420000 52395056752556.320312 1056749616580254.000000 
34 10.430000 42340058184573.351562 834367416989519.000000 
35 10.440000 34381714527061.792969 662357047469015.000000 
36 10.450000 28049394676085.199219 528531603438234.937500 
37 10.460000 22985319642217.890625 423833308009223.437500 
38 10.470000 18915839839191.511719 341485481932773.562500 
39 10.480000 15630429656907.148438 276385965570597.968750 
40 10.490000 12966220596973.187500 224670059645767.031250 
41 10.500000 10796537951365.201172 183393396465568.250000 
42 10.510000 9022351378435.173828 150300283252037.968750 
43 10.520000 7565860302533.209961 123653389132196.625000 
44 10.530000 6365653264295.237305 102107756314771.968750 
45 10.540000 5373034757729.379883 84617045742858.906250 
46 10.550000 4549223113981.891602 70363371176858.265625 
47 10.560000 3863201910211.699219 58704498176707.132812 
48 10.570000 3290064351140.263184 49133900165802.554688 
49 10.580000 2809731448245.886230 41250386810332.265625 
50 10.590000 2405955052470.444824 34734897274571.906250 
51 10.600000 2065539009414.147705 29332684046696.457031 
52 10.610000 1777728117556.067627 24839572601840.808594 
53 10.620000 1533726759617.134033 21091317633748.031250 
54 10.630000 1326318177290.727295 17955322787742.574219 
55 10.640000 1149562186848.519043 15324172465101.410156 
56 10.650000 998554279738.679321 13110558952507.470703 
57 10.660000 869232949905.482788 11243288487187.804688 
58 10.670000 758225054492.991211 9664125001905.339844 
59 10.680000 662721279809.003662 8325286801950.645508 
60 10.690000 580375522314.776978 7187454114905.163086 
61 10.700000 509223333150.686096 6218177841773.882812 
62 10.710000 447615610048.163025 5390604513375.887695 
63 10.720000 394164524238.158875 4682451331408.587891 
64 10.730000 347699296262.112488 4075179669359.985352 
65 10.740000 307229924364.862854 3553326583200.041992 
66 10.750000 271917353500.942810 3103962528339.459961 
67 10.760000 241048875634.372620 2716250193807.424805 
68 10.770000 214017791113.647766 2381084596969.481934 
69 10.780000 190306550408.979858 2090798673426.188232 
70 10.790000 169472746165.801514 1838921806445.023926 
71 10.800000 151137445681.797424 1619981266479.604492 
72 10.810000 134975450018.367783 1429338525823.622314 
73 10.820000 120707143047.224380 1263053992963.746582 
74 10.830000 108091655744.768463 1117774965806.957520 
75 10.840000 96921121066.845871 990642602392.005371 
76 10.850000 87015835191.508606 879214506109.767700 
77 10.860000 78220173721.814575 781400162046.214844 
78 10.870000 70399138109.102127 695406974801.585815 
79 10.880000 63435429291.146111 619695071878.350830 
80 10.890000 57226963295.103050 552939370789.928345 
81 10.900000 51684758094.806313 493997678443.351562 
82 10.910000 46731132945.752388 441883810758.916809 
83 10.920000 42298171238.243065 395744898950.544250 
84 10.930000 38326406002.801895 354842194383.395264 
85 10.940000 34763693889.210457 318534802812.422791 
86 10.950000 31564248977.325260 286265876169.007935 
87 10.960000 28687812371.617825 257550869973.755737 
88 10.970000 26098937350.451797 231967540180.647308 
89 10.980000 23766373022.394558 209147407431.747589 
90 10.990000 21662532096.973534 188768461444.555267 
91 11.000000 19763030597.490761 170548915282.186462 
92 11.010000 18046289203.434479 154241849959.819366 
93 11.020000 16493187471.012274 139630615348.954590 
94 11.030000 15086763492.721020 126524874572.700912 
95 11.040000 13811952662.191566 114757196790.181870 
96 11.050000 12655360143.067091 104180118058.856644 
97 11.060000 11605062428.708187 94663602341.470917 
98 11.070000 10650434046.563351 86092845101.267380 
99 11.080000 9781996026.574442 78366370643.197876 
100 11.090000 8991283233.210104 71394381688.887573 
101 11.100000 8270728069.139906 65097325848.994186 
102 11.110000 7613558406.437163 59404648868.430222 
103 11.120000 7013707897.948892 54253708925.131050 
104 11.130000 6465737074.979291 49588829992.253227 
105 11.140000 5964763854.313962 45360475435.437119 
106 11.150000 5506402263.414363 41524525701.375542 
107 11.160000 5086708352.014084 38041646236.780876 
108 11.170000 4702132395.286849 34876733720.851753 
