# The cartesian coordinates for the centre of mass (COM) is 0.000000 0.000000 3.210037 
2.250000 63.697435 
2.325000 40.266165 
2.400000 25.345445 
2.475000 15.778646 
2.550000 9.616393 
2.625000 5.639408 
2.700000 3.076178 
2.775000 1.433377 
2.850000 0.392595 
2.925000 -0.253384 
3.000000 -0.640369 
3.075000 -0.857893 
3.150000 -0.965250 
3.225000 -1.001824 
3.300000 -0.993813 
3.375000 -0.958624 
3.450000 -0.907788 
3.525000 -0.848888 
3.600000 -0.786853 
3.675000 -0.724826 
3.750000 -0.664751 
3.825000 -0.607769 
3.900000 -0.554490 
3.975000 -0.505172 
4.050000 -0.459850 
4.125000 -0.418416 
4.200000 -0.380679 
4.275000 -0.346400 
4.350000 -0.315321 
4.425000 -0.287177 
4.500000 -0.261712 
4.575000 -0.238679 
4.650000 -0.217848 
4.725000 -0.199006 
4.800000 -0.181958 
4.875000 -0.166524 
4.950000 -0.152546 
5.025000 -0.139876 
5.100000 -0.128383 
5.175000 -0.117950 
5.250000 -0.108471 
5.325000 -0.099851 
5.400000 -0.092005 
5.475000 -0.084857 
5.550000 -0.078338 
5.625000 -0.072389 
5.700000 -0.066953 
5.775000 -0.061981 
5.850000 -0.057431 
5.925000 -0.053261 
6.000000 -0.049438 
6.075000 -0.045928 
6.150000 -0.042703 
6.225000 -0.039737 
6.300000 -0.037007 
6.375000 -0.034492 
6.450000 -0.032173 
6.525000 -0.030033 
6.600000 -0.028056 
6.675000 -0.026229 
6.750000 -0.024539 
6.825000 -0.022973 
6.900000 -0.021523 
6.975000 -0.020178 
7.050000 -0.018929 
7.125000 -0.017770 
7.200000 -0.016692 
7.275000 -0.015690 
7.350000 -0.014757 
7.425000 -0.013888 
7.500000 -0.013077 
7.575000 -0.012322 
7.650000 -0.011616 
7.725000 -0.010958 
7.800000 -0.010342 
7.875000 -0.009766 
7.950000 -0.009228 
8.025000 -0.008723 
8.100000 -0.008251 
8.175000 -0.007807 
8.250000 -0.007392 
8.325000 -0.007002 
8.400000 -0.006636 
8.475000 -0.006291 
8.550000 -0.005968 
8.625000 -0.005664 
8.700000 -0.005377 
8.775000 -0.005108 
8.850000 -0.004854 
8.925000 -0.004614 
9.000000 -0.004389 
9.075000 -0.004176 
9.150000 -0.003975 
9.225000 -0.003785 
9.300000 -0.003605 
9.375000 -0.003436 
9.450000 -0.003276 
9.525000 -0.003124 
9.600000 -0.002981 
9.675000 -0.002845 
9.750000 -0.002716 
9.825000 -0.002594 
9.900000 -0.002478 
9.975000 -0.002369 
10.050000 -0.002265 
10.125000 -0.002166 
10.200000 -0.002072 
10.275000 -0.001983 
10.350000 -0.001898 
10.425000 -0.001818 
10.500000 -0.001741 
10.575000 -0.001669 
10.650000 -0.001599 
10.725000 -0.001533 
10.800000 -0.001471 
10.875000 -0.001411 
10.950000 -0.001354 
11.025000 -0.001300 
11.100000 -0.001248 
11.175000 -0.001198 
11.250000 -0.001151 
11.325000 -0.001106 
11.400000 -0.001063 
11.475000 -0.001022 
11.550000 -0.000983 
11.625000 -0.000946 
11.700000 -0.000910 
11.775000 -0.000876 
11.850000 -0.000843 
11.925000 -0.000812 
12.000000 -0.000782 
12.075000 -0.000753 
12.150000 -0.000726 
12.225000 -0.000699 
12.300000 -0.000674 
12.375000 -0.000650 
12.450000 -0.000627 
12.525000 -0.000605 
12.600000 -0.000583 
12.675000 -0.000563 
12.750000 -0.000543 
12.825000 -0.000525 
12.900000 -0.000507 
12.975000 -0.000489 
13.050000 -0.000473 
13.125000 -0.000457 
13.200000 -0.000441 
13.275000 -0.000427 
13.350000 -0.000412 
13.425000 -0.000399 
13.500000 -0.000386 
13.575000 -0.000373 
13.650000 -0.000361 
13.725000 -0.000349 
13.800000 -0.000338 
13.875000 -0.000327 
13.950000 -0.000317 
14.025000 -0.000307 
14.100000 -0.000297 
14.175000 -0.000288 
14.250000 -0.000279 
14.325000 -0.000270 
14.400000 -0.000262 
14.475000 -0.000254 
14.550000 -0.000246 
14.625000 -0.000239 
14.700000 -0.000231 
14.775000 -0.000224 
14.850000 -0.000218 
14.925000 -0.000211 
