1 10.100000 260773732919909.562500 23498718895686668.000000  
2 10.110000 110470301037602.437500 9050788790864004.000000  
3 10.120000 50427189925400.867188 3787653455160925.500000  
4 10.130000 24508825891819.250000 1699491158441215.000000  
5 10.140000 12565433268340.988281 809174390867125.000000  
6 10.150000 6745683877745.769531 405490111537930.875000  
7 10.160000 3769514469491.960449 212453417495491.531250  
8 10.170000 2181942603539.244385 115756487770778.937500  
9 10.180000 1303016267559.915771 65295135499823.945312  
10 10.190000 800090578418.443115 37987569588373.015625  
11 10.200000 503699125219.320496 22722154937036.562500  
12 10.210000 324330288376.625488 13935700258901.605469  
13 10.220000 213146127361.634796 8743141773305.633789  
14 10.230000 142709167108.825653 5600010841466.293945  
15 10.240000 97190194251.755157 3655342058195.678711  
16 10.250000 67233417104.119232 2427805435692.985352  
17 10.260000 47185349304.399010 1638529725460.779785  
18 10.270000 33559530600.242157 1122339667659.854004  
19 10.280000 24165196260.927929 779392284970.261475  
20 10.290000 17601670429.064442 548190126837.272217  
21 10.300000 12958902847.700544 390187834099.923523  
22 10.310000 9636700113.087465 280830792685.948181  
23 10.320000 7233662587.237198 204238486354.164215  
24 10.330000 5477816210.497009 149994031684.965515  
25 10.340000 4182615333.352268 111173307487.628769  
26 10.350000 3218632858.120990 83116238492.727051  
27 10.360000 2495096753.898081 62649592556.909157  
28 10.370000 1947694492.218145 47588636224.148926  
29 10.380000 1530420706.590619 36413471203.946022  
30 10.390000 1210065790.814674 28056263397.558868  
31 10.400000 962449966.431600 21759762224.022079  
32 10.410000 769823921.173535 16982200118.018887  
33 10.420000 619057398.700251 13332708511.350817  
34 10.430000 500365365.307183 10527028601.205191  
35 10.440000 406404445.144791 8356856929.245386  
36 10.450000 331626706.268446 6668440334.259716  
37 10.460000 271813864.499477 5347503381.747021  
38 10.470000 223739014.780500 4308549469.510356  
39 10.480000 184919214.914488 3487208128.165936  
40 10.490000 153433280.970777 2834720997.168205  
41 10.500000 127786726.978099 2313940863.419172  
42 10.510000 106811022.070532 1896409030.761364  
43 10.520000 89587993.056375 1560206612.219429  
44 10.530000 75392768.455458 1288365024.637318  
45 10.540000 63650477.548353 1067683159.933774  
46 10.550000 53903213.181603 887842152.975314  
